
TIME               |OLD_HASH_VALUE|EXECUTIONS|DISK_READS|BUFFER_GETS|ROWS_PROCESSED|  CPU_TIME|ELAPSED_TIME|SQL                         |MODULE
2016/05/23 10:11:04|    3192604651|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    2655113265|         0|         0|          0|             0|         0|           0|SELECT                      |MMON_SLAVE
2016/05/23 10:11:04|    2601358618|         1|         0|          7|             2|   .000999|     .001098|SELECT                      |
2016/05/23 10:11:04|    1017363156|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3821601888|         1|         0|          2|             0|   .000999|     .000124|SELECT                      |
2016/05/23 10:11:04|    1013070799|         6|         0|        468|             6|   .035995|     .036282|BEGIN                       |
2016/05/23 10:11:04|    2364027057|         1|         0|          3|             0|         0|     .000093|SELECT                      |
2016/05/23 10:11:04|    1050012018|         1|         0|          2|             0|         0|     .000135|SELECT                      |
2016/05/23 10:11:04|    3302995849|         1|         0|          3|             0|         0|      .00007|SELECT                      |
2016/05/23 10:11:04|    1754600610|         1|         0|         31|             1|      .002|     .002659|INSERT                      |
2016/05/23 10:11:04|    2435229694|         1|        19|       6823|             1|   .551917|     .652994|BEGIN S                     |SQL*Plus
2016/05/23 10:11:04|    3509427887|         7|         0|         72|             5|   .003999|     .005737|SELECT                      |
2016/05/23 10:11:04|    1855295302|         6|         0|         42|             6|   .000999|      .00116|SELECT                      |
2016/05/23 10:11:04|    2709226841|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    4279027578|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3993970936|        12|         0|        444|            12|   .008998|      .00983|SELECT                      |
2016/05/23 10:11:04|    2467367768|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3042629495|         1|         0|          1|             1|         0|     .000119|SELECT                      |
2016/05/23 10:11:04|     947984246|         1|         0|          7|             4|         0|     .000113|SELECT                      |
2016/05/23 10:11:04|    4086095417|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    1414786183|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    2322535947|         0|         0|          0|             0|         0|           0|INSERT                      |
2016/05/23 10:11:04|    1427889648|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|     428079081|         0|         0|          0|             0|         0|           0|DECLARE                     |
2016/05/23 10:11:04|      44998547|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3298852453|         1|         0|       1430|             1|   .015998|     .018629|SELECT                      |
2016/05/23 10:11:04|    2110994981|         0|         0|          0|             0|         0|           0|INSERT                      |
2016/05/23 10:11:04|     492173694|         0|         0|          0|             0|         0|           0|DELETE                      |
2016/05/23 10:11:04|    1297986421|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3916220801|         0|         0|          0|             0|         0|           0|INSERT                      |
2016/05/23 10:11:04|    4118814203|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1488184497|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1860418804|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    3434121566|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1301067080|        12|         0|          0|           300|   .015998|     .014192|SELECT                      |
2016/05/23 10:11:04|    4036386883|         2|         0|          2|             2|      .001|     .000331|SELECT                      |
2016/05/23 10:11:04|    3493180880|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    2627059792|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    3056311974|         0|         0|          0|             0|         0|           0|DELETE                      |
2016/05/23 10:11:04|    2601862895|         0|         0|          0|             0|         0|           0|INSERT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    2598188551|         2|         0|         16|             2|         0|     .000299|SELECT                      |SQL*Plus
2016/05/23 10:11:04|     303149640|        12|         0|          0|           120|      .002|     .003161|SELECT                      |
2016/05/23 10:11:04|    1198893840|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    4142779869|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    1307714173|       129|         0|          3|           129|   .006998|     .017803|BEGIN D                     |SQL*Plus
