Date:16/05/23 10:44:22

TIME               |OWNER                                                                                                                           |SEGMENT_NAME                                                                                                                                                                                                                                                      |     BYTES|BUFFER_|OBJECT_TYPE       |TABLESPACE_NAME               |LOGICAL_READS|  LR_RATIO|PHYSICAL_READS|  PR_RATIO|PHYSICAL_WRITES|  RW_RATIO
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$RULE_SET_PK                                                                                                                                                                                                                                                 |   1048576|DEFAULT|INDEX             |USERS                         |           64|         0|             1|       .19|              2|        .1
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$OSSSTATNAME_PK                                                                                                                                                                                                                                              |   1048576|DEFAULT|INDEX             |USERS                         |          144|         0|             1|       .19|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$OSSTAT_PK                                                                                                                                                                                                                                                   |   1048576|DEFAULT|INDEX             |USERS                         |          272|         0|             1|       .19|              2|        .1
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$PROCESS_MEMORY_ROLLUP                                                                                                                                                                                                                                       |   1048576|DEFAULT|TABLE             |USERS                         |           80|         0|             1|       .19|             17|       .85
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SGA_TARGET_ADVICE                                                                                                                                                                                                                                           |   1048576|DEFAULT|TABLE             |USERS                         |           48|         0|             1|       .19|              3|       .15
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SGA_TARGET_ADVICE_PK                                                                                                                                                                                                                                        |   1048576|DEFAULT|INDEX             |USERS                         |           32|         0|             1|       .19|              2|        .1
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$STREAMS_POOL_ADVICE_PK                                                                                                                                                                                                                                      |   1048576|DEFAULT|INDEX             |USERS                         |            0|         0|             1|       .19|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$IOSTAT_FUNCTION_NAME                                                                                                                                                                                                                                        |   1048576|DEFAULT|TABLE             |USERS                         |          208|         0|             1|       .19|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$IOSTAT_FUNCTION_NAME_PK                                                                                                                                                                                                                                     |   1048576|DEFAULT|INDEX             |USERS                         |           48|         0|             1|       .19|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$IOSTAT_FUNCTION                                                                                                                                                                                                                                             |   1048576|DEFAULT|TABLE             |USERS                         |           64|         0|             1|       .19|              4|        .2
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$TIME_MODEL_STATNAME                                                                                                                                                                                                                                         |   1048576|DEFAULT|TABLE             |USERS                         |         2128|         0|             1|       .19|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SQL_PLAN_USAGE_PK                                                                                                                                                                                                                                           |   1048576|DEFAULT|INDEX             |USERS                         |          544|         0|             0|         0|             90|       4.5
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SQL_PLAN_USAGE                                                                                                                                                                                                                                              |   5242880|DEFAULT|TABLE             |USERS                         |         1248|         0|             0|         0|             81|      4.05
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SQL_PLAN                                                                                                                                                                                                                                                    |   5242880|DEFAULT|TABLE             |USERS                         |         5680|         0|             0|         0|            231|     11.54
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SQL_PLAN_PK                                                                                                                                                                                                                                                 |   1048576|DEFAULT|INDEX             |USERS                         |         8880|       .01|             0|         0|             85|      4.25
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SEG_STAT                                                                                                                                                                                                                                                    |   3145728|DEFAULT|TABLE             |USERS                         |         4112|         0|             0|         0|             54|       2.7
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SEG_STAT_PK                                                                                                                                                                                                                                                 |   1048576|DEFAULT|INDEX             |USERS                         |          688|         0|             0|         0|             67|      3.35
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SYSTEM_EVENT                                                                                                                                                                                                                                                |   1048576|DEFAULT|TABLE             |USERS                         |       500912|       .35|             0|         0|             30|       1.5
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$BUFFERED_QUEUES                                                                                                                                                                                                                                             |   1048576|DEFAULT|TABLE             |USERS                         |            0|         0|             0|         0|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$BUFFERED_SUBSCRIBERS                                                                                                                                                                                                                                        |   1048576|DEFAULT|TABLE             |USERS                         |            0|         0|             0|         0|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$OSSTAT                                                                                                                                                                                                                                                      |   1048576|DEFAULT|TABLE             |USERS                         |          192|         0|             0|         0|              4|        .2
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$$PROCESS_ROLLUP_PK                                                                                                                                                                                                                                          |   1048576|DEFAULT|INDEX             |USERS                         |          512|         0|             0|         0|              2|        .1
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$STREAMS_POOL_ADVICE                                                                                                                                                                                                                                         |   1048576|DEFAULT|TABLE             |USERS                         |            0|         0|             0|         0|              0|         0
2016/05/23 10:00:53|CTXSYS                                                                                                                          |DR$FEATURE_USED                                                                                                                                                                                                                                                   |     65536|DEFAULT|TABLE             |SYSAUX                        |            0|         0|             0|         0|              0|         0
2016/05/23 10:00:53|CTXSYS                                                                                                                          |DR$FEAT_KEY                                                                                                                                                                                                                                                       |     65536|DEFAULT|INDEX             |SYSAUX                        |            0|         0|             0|         0|              0|         0
2016/05/23 10:00:53|PERFSTAT                                                                                                                        |STATS$SQL_PLAN_USAGE_HV                                                                                                                                                                                                                                           |   1048576|DEFAULT|INDEX             |USERS                         |          304|         0|             0|         0|             53|      2.65
